WORK,GRAD,EXP,PrevWork,INCENT,Ref,products,ticket,member,earning fm,depend,Department,RC,lang,PREVIND,NOIND,Performance
1,40.811456,5,1,15000,4,2,1000000,1,1,1,2,5,3,0,3,0
1,40.811456,2,2,8000,6,1,125000,3,2,4,3,2,3,0,1,1
1,31.428571,5,2,2000,1,4,2000000,3,1,2,1,4,2,0,3,1
1,36.871508,5,2,15000,2,1,2000000,3,2,3,1,4,2,0,1,1
1,36.871508,1,3,0,4,1,0,3,1,3,1,6,2,0,1,0
1,36.871508,10,1,5000,4,1,125000,1,1,3,1,1,3,0.4,1,0
1,40.811456,2,2,15000,1,1,2000000,5,3,3,1,4,1,0.333333333,3,1
1,40.811456,7,1,15000,5,0,1200000,3,0,2,3,3,3,0,3,0
1,36.871508,2,2,15000,1,1,2000000,3,2,2,3,4,3,0.25,1,0
1,40.811456,3,1,8000,1,2,2000000,5,0,4,3,4,2,0,1,0
1,40.811456,3,1,15000,3,2,2000000,5,2,5,4,6,4,0,1,1
1,40.811456,2,4,8000,1,1,125000,3,0,3,1,5,4,0,1,1
1,36.871508,7,2,8000,1,1,2000000,1,1,1,3,3,1,0,5,0
1,40.811456,9,1,15000,3,2,1000000,3,1,2,5,4,3,0,3,0
0.5,40.811456,15,3,0,1,1,125000,3,1,3,1,4,3,0,3,1
1,40.811456,3,1,5000,1,1,1000000,5,2,0,4,2,3,0,1,1
1,40.811456,6,2,15000,2,1,0,3,5,2,4,6,4,0,1,0
1,40.811456,6,1,15000,1,2,400000,3,0,3,5,2,4,0,3,0
1,36.871508,5,1,5000,4,2,1000000,5,3,3,1,3,4,0,3,0
1,36.871508,5,2,5000,6,2,25000,3,1,4,2,0,4,0,5,1
1,36.871508,8,1,5000,2,1,125000,3,1,3,1,4,1,0,1,1
1,40.811456,7,1,15000,2,2,400000,3,0,3,1,5,1,0,3,0
1,40.811456,3,1,5000,1,2,1000000,5,2,4,3,3,3,0,1,1
1,40.811456,0,1,5000,1,0,400000,5,0,2,6,2,4,0,0,1
1,40.811456,3,1,5000,1,3,400000,3,1,3,2,4,2,1,1,0
1,36.871508,5,1,15000,1,2,1000000,3,3,1,2,2,3,0,1,0
1,40.811456,5,1,5000,1,0,25000,1,0,2,5,5,3,0,3,0
1,40.811456,7,1,15000,1,1,2000000,3,0,5,5,2,3,0,1,0
0.5,40.811456,8,2,8000,6,2,1000000,1,1,2,5,4,1,0,3,1
1,40.811456,4,1,5000,1,2,2000000,1,1,1,1,2,2,0,1,0
1,36.871508,6,1,15000,2,2,2000000,3,1,2,2,4,4,0,3,0
1,31.428571,5,1,5000,4,1,125000,1,0,2,6,3,8,0,3,0
1,36.871508,10,2,0,1,3,0,3,0,5,1,3,4,0,1,0
1,40.811456,4,1,8000,1,2,125000,3,0,4,2,6,3,0,1,1
1,40.811456,1,1,15000,6,2,125000,3,2,2,3,5,4,0,3,1
1,36.871508,4,1,15000,1,4,2000000,5,2,5,2,5,3,0,3,0
1,2,0,1,15000,1,0,1200000,3,0,0,2,2,4,0,0,0
1,36.871508,3,2,8000,1,1,2000000,5,5,3,4,5,1,0,1,0
1,40.811456,8,2,8000,1,3,2000000,1,2,2,2,5,2,0,5,0
1,40.811456,3,2,8000,1,2,125000,3,1,3,5,5,4,0,3,1
1,36.871508,4,1,15000,1,2,2000000,5,2,3,4,2,4,0,1,1
1,36.871508,1,3,15000,1,1,125000,3,2,3,3,4,3,0,1,0
1,40.811456,2,2,5000,1,1,2000000,3,2,3,3,5,1,0,1,1
1,40.811456,4,1,8000,1,2,400000,3,1,3,1,4,4,0,1,0
1,36.871508,11,4,15000,3,2,400000,5,1,5,1,6,2,0,3,0
1,40.811456,2,2,15000,3,2,125000,5,1,0,1,6,3,0,1,0
1,2,0,1,15000,5,0,1200000,3,0,2,3,4,1,0,0,1
1,2,0,1,2000,1,0,400000,3,0,2,3,2,4,0,0,0
1,40.811456,10,1,15000,1,3,2000000,3,1,3,1,5,2,0,1,1
1,40.811456,4,1,15000,1,2,1000000,5,1,2,5,4,2,0,3,0
1,2,0,1,8000,1,0,1200000,5,0,2,2,2,2,0,0,0
1,40.811456,3,2,15000,1,2,2000000,5,0,5,1,4,2,0,1,1
1,40.811456,3,2,8000,2,1,400000,3,1,2,1,4,4,0,1,0
